source-ru,target-ru,source-en,target-en,weight
Кабардино-Балкарская республика,Республика Северная Осетия — Алания,Kabardino-Balkarian Republic,Republic of North Ossetia-Alania,1
Кабардино-Балкарская республика,Ханты-Мансийский автономный округ — Югра,Kabardino-Balkarian Republic,Khanty-Mansiysk Autonomous Okrug - Ugra,1
Карачаево-Черкесская республика,Республика Адыгея,Karachay-Cherkess Republic,Republic of Adygea,1
Карачаево-Черкесская республика,Республика Северная Осетия — Алания,Karachay-Cherkess Republic,Republic of North Ossetia-Alania,1
Карачаево-Черкесская республика,Республика Татарстан,Karachay-Cherkess Republic,Republic of Tatarstan,1
Карачаево-Черкесская республика,Ханты-Мансийский автономный округ — Югра,Karachay-Cherkess Republic,Khanty-Mansiysk Autonomous Okrug - Ugra,1
Москва,Республика Калмыкия,Moscow,Republic of Kalmykia,1
Ненецкий автономный округ,Республика Калмыкия,Nenets Autonomous Okrug,Republic of Kalmykia,1
Ненецкий автономный округ,Республика Тыва,Nenets Autonomous Okrug,Tyva Republic,1
Республика Адыгея,Карачаево-Черкесская республика,Republic of Adygea,Karachay-Cherkess Republic,1
Республика Адыгея,Республика Дагестан,Republic of Adygea,The Republic of Dagestan,1
Республика Адыгея,Республика Ингушетия,Republic of Adygea,The Republic of Ingushetia,1
Республика Башкортостан,Республика Дагестан,Republic of Bashkortostan,The Republic of Dagestan,1
Республика Башкортостан,Республика Ингушетия,Republic of Bashkortostan,The Republic of Ingushetia,1
Республика Башкортостан,Республика Тыва,Republic of Bashkortostan,Tyva Republic,1
Республика Дагестан,Республика Адыгея,The Republic of Dagestan,Republic of Adygea,1
Республика Дагестан,Республика Башкортостан,The Republic of Dagestan,Republic of Bashkortostan,1
Республика Дагестан,Республика Северная Осетия — Алания,The Republic of Dagestan,Republic of North Ossetia-Alania,1
Республика Дагестан,Республика Татарстан,The Republic of Dagestan,Republic of Tatarstan,1
Республика Дагестан,Ханты-Мансийский автономный округ — Югра,The Republic of Dagestan,Khanty-Mansiysk Autonomous Okrug - Ugra,1
Республика Ингушетия,Республика Адыгея,The Republic of Ingushetia,Republic of Adygea,1
Республика Ингушетия,Республика Башкортостан,The Republic of Ingushetia,Republic of Bashkortostan,1
